2025-12-02 16:29:40 - pixiv_crawler - INFO - Fetching monthly ranking with date 20251128...
2025-12-02 16:29:40 - pixiv_crawler - INFO - Fetching ranking page - mode: monthly, date: 20251128
2025-12-02 16:29:50 - pixiv_crawler - INFO - Extracted 94 unique image URLs from ranking page
2025-12-02 16:29:50 - pixiv_crawler - INFO - Found 94 illustration URLs in ranking
2025-12-02 16:29:50 - pixiv_crawler - INFO - Found 94 illustrations in ranking
2025-12-02 16:29:50 - pixiv_crawler - INFO - Starting download...
2025-12-02 16:29:59 - pixiv_crawler - INFO - Successfully downloaded illustration 136937610: ranking_image_136937610
2025-12-02 16:30:00 - pixiv_crawler - INFO - Successfully downloaded illustration 1: ranking_image_1
2025-12-02 16:30:03 - pixiv_crawler - INFO - Successfully downloaded illustration 136971676: ranking_image_136971676
2025-12-02 16:30:04 - pixiv_crawler - INFO - Successfully downloaded illustration 3: ranking_image_3
2025-12-02 16:30:06 - pixiv_crawler - INFO - Successfully downloaded illustration 136937604: ranking_image_136937604
2025-12-02 16:30:08 - pixiv_crawler - INFO - Successfully downloaded illustration 5: ranking_image_5
2025-12-02 16:30:10 - pixiv_crawler - INFO - Successfully downloaded illustration 136967150: ranking_image_136967150
2025-12-02 16:30:11 - pixiv_crawler - INFO - Successfully downloaded illustration 7: ranking_image_7
2025-12-02 16:30:14 - pixiv_crawler - INFO - Successfully downloaded illustration 136937551: ranking_image_136937551
2025-12-02 16:30:15 - pixiv_crawler - INFO - Successfully downloaded illustration 9: ranking_image_9
2025-12-02 16:30:17 - pixiv_crawler - INFO - Successfully downloaded illustration 136958758: ranking_image_136958758
2025-12-02 16:30:19 - pixiv_crawler - INFO - Successfully downloaded illustration 11: ranking_image_11
2025-12-02 16:30:21 - pixiv_crawler - INFO - Successfully downloaded illustration 136937664: ranking_image_136937664
2025-12-02 16:30:22 - pixiv_crawler - INFO - Successfully downloaded illustration 13: ranking_image_13
2025-12-02 16:30:24 - pixiv_crawler - INFO - Successfully downloaded illustration 136937699: ranking_image_136937699
2025-12-02 16:30:26 - pixiv_crawler - INFO - Successfully downloaded illustration 15: ranking_image_15
2025-12-02 16:30:27 - pixiv_crawler - INFO - Successfully downloaded illustration 136926539: ranking_image_136926539
2025-12-02 16:30:29 - pixiv_crawler - INFO - Successfully downloaded illustration 17: ranking_image_17
2025-12-02 16:30:31 - pixiv_crawler - INFO - Successfully downloaded illustration 136931717: ranking_image_136931717
2025-12-02 16:30:32 - pixiv_crawler - INFO - Successfully downloaded illustration 19: ranking_image_19
2025-12-02 16:30:34 - pixiv_crawler - INFO - Successfully downloaded illustration 136937645: ranking_image_136937645
2025-12-02 16:30:36 - pixiv_crawler - INFO - Successfully downloaded illustration 21: ranking_image_21
2025-12-02 16:30:38 - pixiv_crawler - INFO - Successfully downloaded illustration 136976509: ranking_image_136976509
2025-12-02 16:30:39 - pixiv_crawler - INFO - Successfully downloaded illustration 23: ranking_image_23
2025-12-02 16:30:41 - pixiv_crawler - INFO - Successfully downloaded illustration 136937800: ranking_image_136937800
2025-12-02 16:30:43 - pixiv_crawler - INFO - Successfully downloaded illustration 25: ranking_image_25
2025-12-02 16:30:45 - pixiv_crawler - INFO - Successfully downloaded illustration 136938559: ranking_image_136938559
2025-12-02 16:30:46 - pixiv_crawler - INFO - Successfully downloaded illustration 27: ranking_image_27
2025-12-02 16:30:47 - pixiv_crawler - INFO - Successfully downloaded illustration 136900559: ranking_image_136900559
2025-12-02 16:30:49 - pixiv_crawler - INFO - Successfully downloaded illustration 29: ranking_image_29
2025-12-02 16:30:51 - pixiv_crawler - INFO - Successfully downloaded illustration 136957993: ranking_image_136957993
2025-12-02 16:30:52 - pixiv_crawler - INFO - Successfully downloaded illustration 31: ranking_image_31
2025-12-02 16:30:54 - pixiv_crawler - INFO - Successfully downloaded illustration 136982943: ranking_image_136982943
2025-12-02 16:30:55 - pixiv_crawler - INFO - Successfully downloaded illustration 33: ranking_image_33
2025-12-02 16:30:57 - pixiv_crawler - INFO - Successfully downloaded illustration 136892611: ranking_image_136892611
2025-12-02 16:30:58 - pixiv_crawler - INFO - Successfully downloaded illustration 136956581: ranking_image_136956581
2025-12-02 16:31:00 - pixiv_crawler - INFO - Successfully downloaded illustration 36: ranking_image_36
2025-12-02 16:31:01 - pixiv_crawler - INFO - Successfully downloaded illustration 137000080: ranking_image_137000080
2025-12-02 16:31:02 - pixiv_crawler - INFO - Successfully downloaded illustration 38: ranking_image_38
2025-12-02 16:31:04 - pixiv_crawler - INFO - Successfully downloaded illustration 136939575: ranking_image_136939575
2025-12-02 16:31:05 - pixiv_crawler - INFO - Successfully downloaded illustration 40: ranking_image_40
2025-12-02 16:31:07 - pixiv_crawler - INFO - Successfully downloaded illustration 136901065: ranking_image_136901065
2025-12-02 16:31:08 - pixiv_crawler - INFO - Successfully downloaded illustration 136902807: ranking_image_136902807
2025-12-02 16:31:09 - pixiv_crawler - INFO - Successfully downloaded illustration 43: ranking_image_43
2025-12-02 16:31:11 - pixiv_crawler - INFO - Successfully downloaded illustration 136923693: ranking_image_136923693
2025-12-02 16:31:12 - pixiv_crawler - INFO - Successfully downloaded illustration 45: ranking_image_45
2025-12-02 16:31:14 - pixiv_crawler - INFO - Successfully downloaded illustration 136924873: ranking_image_136924873
2025-12-02 16:31:15 - pixiv_crawler - INFO - Successfully downloaded illustration 47: ranking_image_47
2025-12-02 16:31:17 - pixiv_crawler - INFO - Successfully downloaded illustration 136965925: ranking_image_136965925
2025-12-02 16:31:18 - pixiv_crawler - INFO - Successfully downloaded illustration 49: ranking_image_49
2025-12-02 16:31:21 - pixiv_crawler - INFO - Successfully downloaded illustration 136937607: ranking_image_136937607
2025-12-02 16:31:22 - pixiv_crawler - INFO - Successfully downloaded illustration 51: ranking_image_51
2025-12-02 16:31:24 - pixiv_crawler - INFO - Successfully downloaded illustration 136969922: ranking_image_136969922
2025-12-02 16:31:25 - pixiv_crawler - INFO - Successfully downloaded illustration 53: ranking_image_53
2025-12-02 16:31:27 - pixiv_crawler - INFO - Successfully downloaded illustration 136849830: ranking_image_136849830
2025-12-02 16:31:29 - pixiv_crawler - INFO - Successfully downloaded illustration 55: ranking_image_55
2025-12-02 16:31:31 - pixiv_crawler - INFO - Successfully downloaded illustration 136962534: ranking_image_136962534
2025-12-02 16:31:32 - pixiv_crawler - INFO - Successfully downloaded illustration 57: ranking_image_57
2025-12-02 16:31:34 - pixiv_crawler - INFO - Successfully downloaded illustration 136937681: ranking_image_136937681
2025-12-02 16:31:37 - pixiv_crawler - INFO - Successfully downloaded illustration 59: ranking_image_59
2025-12-02 16:31:39 - pixiv_crawler - INFO - Successfully downloaded illustration 136937459: ranking_image_136937459
2025-12-02 16:31:40 - pixiv_crawler - INFO - Successfully downloaded illustration 61: ranking_image_61
2025-12-02 16:31:42 - pixiv_crawler - INFO - Successfully downloaded illustration 136887231: ranking_image_136887231
2025-12-02 16:31:43 - pixiv_crawler - INFO - Successfully downloaded illustration 63: ranking_image_63
2025-12-02 16:31:45 - pixiv_crawler - INFO - Successfully downloaded illustration 136920013: ranking_image_136920013
2025-12-02 16:31:46 - pixiv_crawler - INFO - Successfully downloaded illustration 65: ranking_image_65
2025-12-02 16:31:47 - pixiv_crawler - INFO - Successfully downloaded illustration 136869846: ranking_image_136869846
2025-12-02 16:31:49 - pixiv_crawler - INFO - Successfully downloaded illustration 67: ranking_image_67
2025-12-02 16:31:50 - pixiv_crawler - INFO - Successfully downloaded illustration 136849796: ranking_image_136849796
2025-12-02 16:31:52 - pixiv_crawler - INFO - Successfully downloaded illustration 69: ranking_image_69
2025-12-02 16:31:53 - pixiv_crawler - INFO - Successfully downloaded illustration 136938978: ranking_image_136938978
2025-12-02 16:31:54 - pixiv_crawler - INFO - Successfully downloaded illustration 71: ranking_image_71
2025-12-02 16:31:56 - pixiv_crawler - INFO - Successfully downloaded illustration 136909283: ranking_image_136909283
2025-12-02 16:31:57 - pixiv_crawler - INFO - Successfully downloaded illustration 73: ranking_image_73
2025-12-02 16:31:59 - pixiv_crawler - INFO - Successfully downloaded illustration 136922323: ranking_image_136922323
2025-12-02 16:32:01 - pixiv_crawler - INFO - Successfully downloaded illustration 75: ranking_image_75
2025-12-02 16:32:03 - pixiv_crawler - INFO - Successfully downloaded illustration 136985986: ranking_image_136985986
2025-12-02 16:32:04 - pixiv_crawler - INFO - Successfully downloaded illustration 77: ranking_image_77
2025-12-02 16:32:06 - pixiv_crawler - INFO - Successfully downloaded illustration 136950981: ranking_image_136950981
2025-12-02 16:32:07 - pixiv_crawler - INFO - Successfully downloaded illustration 79: ranking_image_79
2025-12-02 16:32:09 - pixiv_crawler - INFO - Successfully downloaded illustration 137042535: ranking_image_137042535
2025-12-02 16:32:11 - pixiv_crawler - INFO - Successfully downloaded illustration 136984646: ranking_image_136984646
2025-12-02 16:32:13 - pixiv_crawler - INFO - Successfully downloaded illustration 82: ranking_image_82
2025-12-02 16:32:14 - pixiv_crawler - INFO - Successfully downloaded illustration 136956627: ranking_image_136956627
2025-12-02 16:32:16 - pixiv_crawler - INFO - Successfully downloaded illustration 84: ranking_image_84
2025-12-02 16:32:18 - pixiv_crawler - INFO - Successfully downloaded illustration 136972944: ranking_image_136972944
2025-12-02 16:32:19 - pixiv_crawler - INFO - Successfully downloaded illustration 86: ranking_image_86
2025-12-02 16:32:20 - pixiv_crawler - INFO - Successfully downloaded illustration 136892568: ranking_image_136892568
2025-12-02 16:32:22 - pixiv_crawler - INFO - Successfully downloaded illustration 136925756: ranking_image_136925756
2025-12-02 16:32:23 - pixiv_crawler - INFO - Successfully downloaded illustration 89: ranking_image_89
2025-12-02 16:32:25 - pixiv_crawler - INFO - Successfully downloaded illustration 136917194: ranking_image_136917194
2025-12-02 16:32:26 - pixiv_crawler - INFO - Successfully downloaded illustration 91: ranking_image_91
2025-12-02 16:32:28 - pixiv_crawler - INFO - Successfully downloaded illustration 136958698: ranking_image_136958698
2025-12-02 16:32:29 - pixiv_crawler - INFO - Successfully downloaded illustration 93: ranking_image_93
